id,department,itemName,unitQuantity,unitPrice
1,Deli,Sliced Chicken,1 lb,$3.45
2,Dairy,Milk,1 Gallon,
3,Produce,Apple,1 each,
4,Bakery,French Bagette,1 each,
5,Frozen,Pizza- Cheese,1 each,
6,Deli,Sliced Roast Beef,1 lb,
7,Dairy,Yogurt,6 oz,
8,Produce,Orange,1 each,
9,Bakery,Ciabatta loaf,1 each,
10,Frozen,Pizza- Pepperoni,1 each,
11,Deli,Salami,1 lb,
12,Dairy,Cream,1 pint,
13,Produce,Banana,1 bunch of 5,
14,Bakery,Muffin- Blueberry,1 each,
15,Frozen,Pizza- Supreme,1 each,
16,Deli,Sliced Turkey,1 lb,
17,Dairy,Cheese- Swiss,1/2 lb,
18,Produce,Pepper- Red,1 each,
19,Bakery,Doughnut,1 each,
20,Frozen,Ice Cream- Chocolate,1 pint,
21,Deli,Proscutto,1/2 lb,
22,Dairy,Cheese- Cheddar,1/2 lb,
23,Produce,Green Beans,1/4 lb,
24,Bakery,Muffin- Poppy Seed,1 each,
25,Frozen,Chicken Nuggets,1 pack of 40,
26,Deli,Fried Chicken,8 pieces,
27,Dairy,Whipped Cream,16 oz,
28,Produce,Pea Pods,1/4 lb,
29,Bakery,Yeast Rolls,1 pack of 10,
30,Frozen,Ice Cream- Coffee,1 pint,
